"P" "t"
"1" 2.09124345686287 0
"2" 2.43095593460438 0.5
"3" 3.20243601543689 1
"4" 3.61959587565488 1.5
"5" 3.9390298927831 2
"6" 3.60948981809482 2.5
"7" 3.7229787977935 3
"8" 4.08829549283547 3.5
"9" 3.74854625200463 4
"10" 3.73133908546659 4.5
"11" 3.3647618969482 5
"12" 3.34640543670129 5.5
"13" 3.12965749400728 6
"14" 2.97018531293382 6.5
"15" 2.95672629333241 7
"16" 2.71592928572756 7.5
"17" 2.63066823903714 8
"18" 2.26267153766728 8.5
"19" 2.09764416904661 9
"20" 1.8448387590663 9.5
"21" 1.68586535927715 10
